id,carat,cut,color,clarity,depth,table,x,y,z,price
8819,1.7,Ideal,G,VS2,62.2,55.0,7.63,7.67,4.76,14833
5371,0.76,Ideal,F,VS2,62.5,57.0,5.83,5.8,3.63,2724
3397,1.01,Very Good,E,SI2,63.1,60.0,6.31,6.33,3.99,4422
3082,0.31,Premium,E,VS1,62.5,58.0,4.35,4.32,2.71,942
5474,0.3,Ideal,E,VVS2,61.8,54.0,4.34,4.37,2.69,814
7153,0.77,Premium,F,SI2,61.8,58.0,5.96,5.88,3.65,2343
2682,1.0,Very Good,F,SI2,62.6,58.0,6.3,6.35,3.96,4989
4588,0.53,Ideal,J,SI1,62.5,57.0,5.17,5.15,3.23,1092
3617,2.01,Very Good,J,SI2,61.8,60.0,8.06,8.11,4.98,13298
5453,0.92,Very Good,I,SI1,60.9,61.0,6.22,6.25,3.8,3438
6902,0.35,Very Good,E,SI1,62.9,59.0,4.46,4.51,2.82,614
218,1.19,Premium,J,SI1,61.8,59.0,6.81,6.76,4.19,4498
8667,1.51,Very Good,F,SI1,63.1,57.0,7.28,7.31,4.61,11560
5033,1.63,Ideal,G,VVS2,61.9,57.0,7.54,7.61,4.67,16407
4629,0.42,Very Good,F,VVS2,63.0,59.0,4.76,4.79,3.0,1131
2543,0.33,Ideal,G,VS1,61.8,55.0,4.46,4.49,2.77,723
3080,1.21,Ideal,H,VS1,62.2,56.0,6.79,6.87,4.25,6535
1244,0.7,Ideal,F,VS1,61.7,57.0,5.68,5.71,3.52,2724
420,1.02,Very Good,G,VS1,62.9,55.2,6.38,6.42,4.02,6468
7180,1.01,Ideal,H,VS2,61.5,57.0,6.42,6.45,3.96,5773
8600,0.23,Very Good,E,VVS1,60.0,59.0,3.95,4.0,2.41,530
2058,1.01,Fair,F,SI2,65.4,58.0,6.16,6.1,4.04,3246
8651,1.22,Premium,H,SI1,59.7,58.0,6.99,7.04,4.19,6840
6689,1.57,Premium,F,SI2,59.6,60.0,7.55,7.52,4.5,10308
3679,0.7,Very Good,J,SI1,59.0,59.0,5.83,5.86,3.44,2083
4681,0.28,Ideal,G,VS1,60.1,56.0,4.22,4.25,2.55,490
1166,1.01,Very Good,E,SI2,62.4,55.0,6.36,6.43,3.99,4355
254,0.41,Ideal,I,VVS2,61.8,57.0,4.79,4.74,2.94,827
415,0.77,Very Good,E,SI1,62.1,56.0,5.88,5.92,3.65,2891
3379,2.03,Ideal,H,SI2,62.5,55.0,8.12,8.07,5.06,17894
9346,0.36,Ideal,I,VVS1,60.8,57.0,4.56,4.6,2.79,589
3437,0.7,Ideal,E,VS2,61.4,57.0,5.74,5.72,3.52,3024
3111,1.01,Premium,H,VS2,62.5,57.0,6.41,6.37,3.99,4704
759,0.34,Ideal,G,VS2,62.7,55.0,4.47,4.49,2.81,587
1385,1.57,Very Good,J,VS2,62.6,58.0,7.43,7.4,4.65,9078
654,0.3,Ideal,G,VS1,62.2,56.0,4.29,4.32,2.68,645
1201,0.52,Premium,G,SI1,60.9,60.0,5.16,5.21,3.15,1249
2413,0.71,Premium,E,VS1,62.8,59.0,5.69,5.65,3.56,3136
7169,1.01,Good,E,SI1,63.7,57.0,6.36,6.31,4.03,5645
4438,0.9,Premium,H,VS2,60.1,59.0,6.3,6.24,3.77,4082
7868,0.3,Very Good,G,SI1,62.0,55.0,4.3,4.34,2.68,461
6398,0.36,Ideal,E,VS1,62.0,56.0,4.56,4.6,2.84,852
3538,0.52,Ideal,G,VS1,61.8,55.0,5.18,5.15,3.19,1708
3044,0.54,Very Good,F,SI1,62.9,58.0,5.17,5.22,3.27,1337
2830,1.54,Premium,I,VS1,61.3,58.0,7.3,7.37,4.52,9604
8260,2.02,Premium,I,SI1,61.5,59.0,8.14,8.07,4.99,13337
328,1.01,Very Good,H,SI1,61.6,61.0,6.42,6.4,3.94,4558
4625,0.61,Ideal,D,SI1,62.4,55.0,5.42,5.45,3.39,1889
7348,0.34,Ideal,F,VS2,62.6,57.0,4.46,4.43,2.79,855
6220,0.73,Ideal,E,VS1,62.0,56.0,5.75,5.83,3.59,3337
2063,1.02,Ideal,D,VS2,61.8,56.0,6.47,6.52,4.01,6539
6829,0.33,Ideal,E,VS2,62.5,55.0,4.44,4.41,2.77,928
3033,1.04,Ideal,D,SI1,62.0,56.0,6.54,6.51,4.04,6825
8548,0.71,Ideal,E,SI1,62.0,56.0,5.71,5.72,3.54,2308
6664,0.57,Ideal,D,SI1,62.1,53.0,5.32,5.35,3.31,1401
9042,0.32,Premium,E,VS1,60.4,59.0,4.39,4.42,2.66,726
4597,0.82,Very Good,E,SI1,62.4,59.0,5.97,5.95,3.72,3298
1281,0.31,Good,G,VS1,63.1,55.0,4.28,4.31,2.71,604
3019,0.25,Very Good,F,VVS2,62.9,55.0,4.03,4.06,2.54,633
3029,1.04,Ideal,G,SI1,61.2,56.0,6.56,6.58,4.01,5700
4751,0.3,Ideal,G,VVS2,61.7,55.0,4.32,4.34,2.67,850
2636,0.7,Ideal,E,VS2,62.8,56.0,5.66,5.61,3.55,2818
3582,1.07,Premium,G,VVS2,61.7,58.0,6.6,6.54,4.05,8296
6691,1.12,Ideal,F,VS1,59.9,56.0,6.78,6.82,4.06,8072
8468,0.3,Ideal,D,VVS1,60.6,56.0,4.37,4.39,2.65,1020
3018,1.0,Ideal,I,SI2,61.9,57.0,6.41,6.33,3.94,3956
2945,0.52,Ideal,D,SI1,62.4,57.0,5.17,5.14,3.21,1723
7672,1.0,Ideal,H,VS1,61.8,54.0,6.41,6.36,3.95,6093
4081,0.75,Premium,F,VS1,60.7,60.0,5.89,5.85,3.56,2968
5332,1.01,Premium,G,VS1,61.8,60.0,6.41,6.37,3.95,6412
2663,0.3,Premium,G,VS1,61.9,58.0,4.28,4.31,2.66,776
8907,0.4,Premium,F,SI2,60.5,58.0,4.76,4.72,2.86,720
1282,1.51,Ideal,I,SI2,61.3,56.0,7.45,7.41,4.54,7695
6333,1.34,Premium,E,SI1,63.0,58.0,7.03,6.97,4.42,6077
1362,0.31,Very Good,G,VS2,63.2,57.0,4.32,4.27,2.71,487
4089,1.01,Good,I,SI1,64.1,58.0,6.25,6.22,4.01,3749
1437,0.41,Ideal,F,VVS1,61.4,56.0,4.77,4.8,2.94,1168
9805,0.52,Ideal,E,VS2,61.4,57.0,5.19,5.13,3.16,1815
6751,0.44,Premium,F,VS1,61.3,58.0,4.95,4.91,3.03,1294
56,0.77,Premium,E,VS1,61.1,58.0,5.89,5.95,3.61,3423
5270,0.9,Ideal,G,SI2,62.1,57.0,6.21,6.17,3.84,3455
8636,0.41,Ideal,F,VVS2,61.5,56.0,4.78,4.75,2.94,1115
5908,2.01,Good,F,SI2,63.3,59.0,7.93,8.0,5.05,15841
1844,1.01,Very Good,G,SI2,63.1,58.0,6.38,6.44,4.04,4514
3299,0.33,Ideal,H,VS1,60.9,55.0,4.49,4.52,2.74,589
8735,0.3,Ideal,H,SI1,61.9,57.0,4.27,4.3,2.66,438
5798,0.96,Very Good,I,VS2,61.6,58.0,6.29,6.35,3.9,4278
2880,0.33,Ideal,G,VS2,62.1,55.0,4.45,4.48,2.77,579
1743,0.53,Ideal,D,VS1,60.2,53.7,5.27,5.29,3.18,2033
8553,0.72,Ideal,E,VS2,61.8,57.0,5.79,5.77,3.58,3189
3620,1.02,Very Good,D,SI1,61.8,56.0,6.5,6.47,4.01,5921
4344,1.47,Very Good,I,SI1,62.8,57.0,7.19,7.08,4.5,7680
3842,0.56,Ideal,D,VS2,62.5,57.0,5.24,5.28,3.29,1963
740,0.78,Ideal,E,SI2,61.7,56.0,5.96,5.91,3.65,2650
6942,0.5,Very Good,D,VS2,60.8,60.0,5.14,5.18,3.13,1656
5723,1.0,Very Good,F,SI1,61.0,57.0,6.34,6.42,3.9,4995
8976,0.32,Ideal,D,VS2,61.4,56.0,4.4,4.43,2.71,758
1624,0.3,Premium,H,VS1,61.8,59.0,4.33,4.28,2.66,630
524,0.5,Ideal,E,SI1,62.5,57.0,5.13,5.08,3.19,1438
6847,1.01,Premium,H,SI2,62.2,58.0,6.37,6.41,3.97,4234
4376,2.13,Ideal,F,SI2,62.2,55.0,8.19,8.27,5.11,18578
7541,1.06,Premium,G,VS1,60.7,58.0,6.64,6.56,4.0,7357
6950,0.32,Premium,G,VVS1,62.6,58.0,4.38,4.33,2.73,1080
9196,0.36,Premium,H,VS2,61.6,60.0,4.53,4.56,2.8,568
435,1.32,Very Good,G,VVS1,61.8,60.0,7.04,6.99,4.33,12787
3685,0.54,Ideal,D,VS1,60.2,55.0,5.32,5.28,3.2,1994
5218,1.0,Premium,H,SI1,62.4,62.0,6.37,6.34,3.96,3689
308,0.72,Premium,I,VVS2,61.1,58.0,5.77,5.79,3.53,2535
1565,1.51,Good,G,VS2,63.6,59.0,7.28,7.22,4.61,11455
2631,0.71,Ideal,F,VVS1,61.7,56.0,5.78,5.73,3.55,4066
5821,0.38,Ideal,G,VS2,62.2,54.2,4.65,4.67,2.89,746
4605,1.01,Premium,H,SI1,60.4,59.0,6.49,6.44,3.91,4588
401,0.52,Ideal,E,VS2,61.8,56.0,5.1,5.16,3.17,1689
4110,0.33,Ideal,E,VVS1,61.2,56.0,4.5,4.47,2.74,1094
3068,0.32,Ideal,D,VS2,61.5,55.0,4.4,4.38,2.7,805
881,0.91,Premium,E,SI2,62.0,59.0,6.1,6.12,3.78,3703
434,0.61,Ideal,G,VVS2,62.0,58.0,5.45,5.48,3.38,2174
